City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,kapaa,22.0752,-159.319,80.92,76,40,3.0,US,1630653889
67,gat,31.61,34.7642,85.41,53,0,3.71,IL,1630653964
68,kahului,20.8947,-156.47,77.02,84,1,14.97,US,1630653823
69,ilulissat,69.2167,-51.1,33.82,80,0,9.22,GL,1630654116
70,faya,18.3851,42.4509,81.12,23,20,3.78,SA,1630654117
71,barrow,71.2906,-156.7887,35.62,80,90,27.63,US,1630654117
72,benjamin constant,-4.3831,-70.0311,75.33,86,86,2.71,BR,1630654118
73,dongkan,33.9997,119.8308,79.9,66,89,8.5,CN,1630654119
74,sambava,-14.2667,50.1667,75.51,69,99,15.3,MG,1630654120
75,troitsko-pechorsk,62.7084,56.1964,56.03,54,100,6.51,RU,1630654120
76,hofn,64.2539,-15.2082,53.33,74,100,2.84,IS,1630654121
77,faanui,-16.4833,-151.75,79.47,67,6,18.05,PF,1630654122
78,dikson,73.5069,80.5464,41.5,89,100,27.16,RU,1630654122
79,hanyang,32.1371,105.5126,77.77,84,100,4.59,CN,1630654123
80,brae,60.3964,-1.353,51.71,80,100,5.93,GB,1630654124
81,seoul,37.5683,126.9778,85.39,42,0,5.75,KR,1630654124
82,narsaq,60.9167,-46.05,43.02,97,100,3.36,GL,1630654125
83,souillac,-20.5167,57.5167,76.35,57,40,14.97,MU,1630654126
84,hobart,-42.8794,147.3294,54.27,96,75,4.61,AU,1630654035
85,east london,-33.0153,27.9116,68.94,56,0,16.11,ZA,1630654127
86,cape town,-33.9258,18.4232,59.11,84,75,7.0,ZA,1630654128
87,hualmay,-11.0964,-77.6139,61.02,87,56,7.23,PE,1630654128
88,san jeronimo,-11.9472,-75.2829,51.76,67,95,1.99,PE,1630654129
89,plettenberg bay,-34.0527,23.3716,58.93,77,100,5.19,ZA,1630654130
90,tiksi,71.6872,128.8694,38.97,96,100,16.69,RU,1630654130
91,juneau,58.3019,-134.4197,57.85,96,90,6.91,US,1630654131
92,caldwell,43.6629,-116.6874,62.98,46,1,5.75,US,1630654059
93,half moon bay,37.4636,-122.4286,60.71,87,90,0.0,US,1630654132
94,richards bay,-28.783,32.0377,73.9,59,0,16.67,ZA,1630654133
95,coro,11.4045,-69.6734,78.91,85,63,12.3,VE,1630654134
96,karratha,-20.7377,116.8463,83.21,24,69,4.5,AU,1630654135
97,maniitsoq,65.4167,-52.9,40.46,84,22,0.94,GL,1630654136
98,yellowknife,62.456,-114.3525,48.72,100,1,3.44,CA,1630654081
99,zlotoryja,51.1264,15.9198,64.81,75,0,6.55,PL,1630654137
100,chifeng,42.2683,118.9636,75.88,53,62,7.27,CN,1630654138
101,severo-kurilsk,50.6789,156.125,55.76,89,87,4.99,RU,1630654139
102,varhaug,58.6147,5.6457,54.95,72,97,23.33,NO,1630654139
103,mahajanga,-15.7167,46.3167,84.22,37,0,16.11,MG,1630654140
104,pevek,69.7008,170.3133,35.17,82,20,4.05,RU,1630654141
105,flinders,-34.5833,150.8552,70.18,73,11,4.0,AU,1630654141
106,port elizabeth,-33.918,25.5701,63.1,82,40,26.46,ZA,1630654142
107,qaqortoq,60.7167,-46.0333,43.3,96,100,4.63,GL,1630654143
108,wyndham,37.6985,-77.6125,59.95,89,1,1.01,US,1630654144
109,guarapuava,-25.3953,-51.4581,54.75,65,0,2.66,BR,1630654144
110,the valley,18.217,-63.0578,84.06,79,39,18.32,AI,1630654145
111,monrovia,6.3005,-10.7969,74.86,90,97,8.84,LR,1630654146
112,ocala,29.1872,-82.1401,75.99,93,1,0.0,US,1630654026
113,gerardmer,48.0735,6.8779,57.69,68,0,1.19,FR,1630654147
114,port hawkesbury,45.6169,-61.3485,64.69,90,90,5.99,CA,1630654148
115,husavik,66.0449,-17.3389,49.91,74,100,6.87,IS,1630654148
116,atuona,-9.8,-139.0333,77.86,78,31,19.26,PF,1630654149
117,mahebourg,-20.4081,57.7,76.24,57,40,14.97,MU,1630654150
118,moussoro,13.6408,16.4901,81.3,64,100,14.83,TD,1630654150
119,lompoc,34.6391,-120.4579,61.79,85,75,0.0,US,1630654150
120,hasaki,35.7333,140.8333,70.2,86,100,18.68,JP,1630654152
121,kamenka,51.3223,42.7678,50.76,83,100,19.1,RU,1630654152
122,misratah,32.3754,15.0925,80.85,66,0,10.89,LY,1630654153
123,mar del plata,-38.0023,-57.5575,47.86,95,0,6.51,AR,1630654150
124,manokwari,-0.8667,134.0833,83.71,68,59,5.03,ID,1630654154
125,tuktoyaktuk,69.4541,-133.0374,40.95,88,100,18.95,CA,1630654155
126,changji,44.0167,87.3167,79.59,38,20,6.71,CN,1630654156
127,reading,51.4562,-0.9711,61.63,86,75,1.01,GB,1630653972
128,lakeland,28.0395,-81.9498,76.62,87,1,8.01,US,1630654157
129,khatanga,71.9667,102.5,43.36,54,78,5.57,RU,1630654158
130,dhidhdhoo,6.8833,73.1,81.84,75,100,9.66,MV,1630654159
131,araouane,18.9048,-3.5265,90.1,33,14,13.98,ML,1630654159
132,ambulu,-8.345,113.6058,83.57,57,79,11.63,ID,1630654160
133,saldanha,-33.0117,17.9442,53.65,84,32,17.25,ZA,1630654161
134,paita,-5.0892,-81.1144,63.0,90,99,12.73,PE,1630654161
135,bathsheba,13.2167,-59.5167,83.01,83,40,20.71,BB,1630654162
136,pangnirtung,66.1451,-65.7125,40.89,98,100,5.3,CA,1630654163
137,arraial do cabo,-22.9661,-42.0278,69.06,91,7,24.05,BR,1630654140
138,minyar,55.0709,57.5485,74.86,34,100,13.8,RU,1630654164
139,porto velho,-8.7619,-63.9039,73.45,94,0,0.0,BR,1630654165
140,sisimiut,66.9395,-53.6735,38.89,86,0,7.09,GL,1630654166
141,georgetown,5.4112,100.3354,89.55,55,20,3.44,MY,1630654167
142,san rafael,-34.6177,-68.3301,55.42,80,100,4.79,AR,1630654167
143,chuy,-33.6971,-53.4616,57.49,96,100,10.45,UY,1630654168
144,severomuysk,56.1481,113.4267,38.64,95,100,5.7,RU,1630654169
145,klaksvik,62.2266,-6.589,52.72,84,99,4.16,FO,1630654169
146,kirkkonummi,60.1238,24.4385,52.05,77,66,15.68,FI,1630654171
147,shingu,33.7333,135.9833,81.91,89,91,3.69,JP,1630654171
148,puerto madryn,-42.7692,-65.0385,52.03,77,100,19.62,AR,1630654004
149,bambous virieux,-20.3428,57.7575,76.21,57,40,14.97,MU,1630654172
150,new norfolk,-42.7826,147.0587,53.92,87,100,4.0,AU,1630654173
151,canmore,51.0834,-115.3521,47.75,87,35,0.0,CA,1630654174
152,longyearbyen,78.2186,15.6401,33.64,75,0,3.44,SJ,1630654175
153,verkhoyansk,67.5447,133.385,49.69,95,100,1.83,RU,1630654175
154,katsuura,35.1333,140.3,71.71,93,100,10.31,JP,1630654176
155,popondetta,-8.7537,148.2534,81.59,76,83,3.27,PG,1630654177
156,palm springs,33.8303,-116.5453,89.64,37,1,3.44,US,1630654177
157,sokoto,13.0609,5.239,77.86,77,92,10.22,NG,1630654178
158,labrea,-7.2586,-64.7981,73.17,77,12,2.64,BR,1630654179
159,kuantan,3.8077,103.326,89.71,66,40,3.44,MY,1630654180
160,lagoa,39.05,-27.9833,70.72,79,96,6.42,PT,1630654180
161,san patricio,28.017,-97.5169,85.86,78,0,8.68,US,1630654181
162,tasiilaq,65.6145,-37.6368,41.16,97,100,4.52,GL,1630654182
163,muros,42.7762,-9.0603,63.84,93,87,4.16,ES,1630654183
164,stryn,61.9045,6.7226,56.14,97,100,3.89,NO,1630654183
165,saskylakh,71.9167,114.0833,36.52,73,100,14.25,RU,1630654184
166,lorengau,-2.0226,147.2712,84.43,69,55,8.63,PG,1630654185
167,santa cruz cabralia,-16.2781,-39.0247,66.43,100,75,6.91,BR,1630654185
168,nanortalik,60.1432,-45.2371,42.8,98,100,1.83,GL,1630654186
169,borogontsy,62.6683,131.1683,57.85,80,100,12.55,RU,1630654187
170,tucuma,-0.1833,-50.05,74.16,94,100,6.76,BR,1630654187
171,nikolskoye,59.7035,30.7861,46.29,95,100,7.16,RU,1630654188
172,zhigansk,66.7697,123.3711,50.4,60,72,6.96,RU,1630654189
173,snezhnogorsk,69.1933,33.2531,44.38,93,100,28.41,RU,1630654190
174,kaliningrad,54.7065,20.511,62.65,75,50,19.42,RU,1630654190
175,el estor,15.5333,-89.35,74.16,97,66,1.7,GT,1630654191
176,yulara,-25.2406,130.9889,71.44,21,100,12.66,AU,1630654192
177,abrau-dyurso,44.69,37.59,63.86,55,32,20.04,RU,1630654193
178,obo,5.3998,26.4869,75.34,76,54,2.77,CF,1630654193
179,bahir dar,11.5936,37.3908,66.07,85,100,5.39,ET,1630654194
180,nizhniy tsasuchey,50.5167,115.1333,75.76,43,100,9.35,RU,1630654195
181,wanning,18.8003,110.3967,86.92,68,100,12.68,CN,1630654195
182,rio gallegos,-51.6226,-69.2181,39.25,70,0,6.91,AR,1630654196
183,torbay,47.6666,-52.7314,61.29,98,90,14.97,CA,1630654197
184,trincomalee,8.5711,81.2335,90.34,56,97,9.22,LK,1630654198
185,moengo,5.6167,-54.4,73.06,96,100,2.24,SR,1630654199
186,iskateley,67.6803,53.1512,46.89,75,100,7.25,RU,1630654199
187,fiumicino,41.7675,12.2291,76.08,60,0,4.61,IT,1630653944
188,along,28.1667,94.7667,87.28,71,87,3.78,IN,1630654200
189,coahuayana,18.7333,-103.6833,75.47,92,99,3.13,MX,1630654202
190,esperance,-33.8667,121.9,55.24,61,42,11.79,AU,1630654203
191,micheweni,-4.9667,39.8333,80.83,60,12,12.12,TZ,1630654204
192,airai,-8.9266,125.4092,70.03,65,86,4.52,TL,1630654208
193,los llanos de aridane,28.6585,-17.9182,69.55,75,20,4.61,ES,1630654209
194,dickinson,29.4608,-95.0513,84.94,89,1,0.0,US,1630654210
195,namibe,-15.1961,12.1522,66.18,76,12,4.38,AO,1630654211
196,asau,46.4333,26.4,62.96,51,13,2.84,RO,1630654212
197,haines junction,60.7522,-137.5108,51.75,76,100,3.44,CA,1630654212
198,thompson,55.7435,-97.8558,55.56,94,90,6.91,CA,1630654213
199,campbell river,50.0163,-125.2446,58.53,83,100,3.36,CA,1630654209
200,caravelas,-17.7125,-39.2481,66.24,95,31,1.77,BR,1630654214
201,mackay,-21.15,149.2,71.58,78,75,19.57,AU,1630654216
202,chokurdakh,70.6333,147.9167,55.09,60,100,7.05,RU,1630654217
203,nurota,40.5614,65.6886,89.69,10,0,7.16,UZ,1630654217
204,medea,36.2642,2.7539,68.45,68,6,3.44,DZ,1630654218
205,avarua,-21.2078,-159.775,73.45,94,90,6.91,CK,1630654219
206,ellensburg,46.9965,-120.5479,63.28,60,1,1.99,US,1630654031
207,suez,29.9737,32.5263,85.78,50,0,11.01,EG,1630654220
208,makakilo city,21.3469,-158.0858,79.12,76,40,6.91,US,1630654220
209,muhos,64.808,25.9931,47.98,77,100,10.42,FI,1630654221
210,vorontsovka,50.6132,40.3549,58.55,55,91,20.36,RU,1630654222
211,hervey bay,-25.2986,152.8535,71.71,69,26,12.86,AU,1630654223
212,sault sainte marie,46.5168,-84.3333,57.88,90,1,4.61,CA,1630654095
213,maragogipe,-12.7778,-38.9194,77.05,95,61,3.67,BR,1630654224
214,maldonado,-34.6667,-54.9167,54.79,94,100,9.53,UY,1630654225
215,tuatapere,-46.1333,167.6833,47.19,89,32,6.91,NZ,1630654225
216,vanimo,-2.6741,141.3028,81.39,84,100,9.78,PG,1630654226
217,castro,-24.7911,-50.0119,56.25,69,3,3.31,BR,1630654227
218,svetlogorsk,52.6333,29.7333,58.87,58,48,15.35,BY,1630654227
219,ekhabi,53.5102,142.9671,60.06,78,9,8.99,RU,1630654228
220,koslan,63.4564,48.8989,46.74,79,100,8.1,RU,1630654229
221,nioro,13.35,-15.75,76.73,92,67,4.47,GM,1630654230
222,lixourion,38.2019,20.4314,80.6,50,0,10.36,GR,1630654231
223,arak,34.0917,49.6892,86.86,11,2,4.16,IR,1630654232
224,pedernales,18.0384,-71.744,80.35,69,83,2.39,DO,1630654232
225,magadan,59.5667,150.8,54.82,91,90,6.73,RU,1630654233
226,ikongo,-21.8833,47.4333,75.83,49,13,6.17,MG,1630654234
227,carnarvon,-24.8667,113.6333,66.27,38,0,26.46,AU,1630654234
228,middelburg,-25.7751,29.4648,74.48,20,0,7.47,ZA,1630654235
229,srandakan,-7.9386,110.2506,80.71,58,100,13.0,ID,1630654236
230,kaitangata,-46.2817,169.8464,48.63,87,78,4.21,NZ,1630654237
231,upernavik,72.7868,-56.1549,36.5,76,7,3.36,GL,1630654238
232,sibolga,1.7427,98.7792,85.42,62,58,5.48,ID,1630654238
233,lavrentiya,65.5833,-171.0,44.89,90,100,1.3,RU,1630654239
234,alice springs,-23.7,133.8833,62.15,67,75,12.66,AU,1630654240
235,magdalena,14.1999,121.429,89.42,80,100,3.36,PH,1630654240
236,malakal,9.5334,31.6605,72.41,95,100,3.22,SS,1630654241
237,victoria,22.2855,114.1577,91.33,69,100,1.99,HK,1630654024
238,namatanai,-3.6667,152.4333,81.12,79,100,9.51,PG,1630654243
239,ketchikan,55.3422,-131.6461,55.87,100,90,4.61,US,1630654244
240,high level,58.5169,-117.136,44.71,100,1,0.0,CA,1630654245
241,chulman,56.8479,124.9104,66.49,66,77,6.55,RU,1630654245
242,guarapari,-20.6667,-40.4975,66.09,89,4,5.97,BR,1630654246
243,minab,27.1467,57.0801,96.3,39,0,11.36,IR,1630654247
244,pisco,-13.7,-76.2167,60.85,88,10,6.91,PE,1630654247
245,suffolk,40.8668,-72.7996,61.92,82,1,7.0,US,1630654075
246,provideniya,64.3833,-173.3,49.32,81,87,2.84,RU,1630654249
247,grindavik,63.8424,-22.4338,57.15,100,75,16.11,IS,1630654249
248,matara,5.9485,80.5353,85.77,63,51,13.76,LK,1630654250
249,tilichiki,60.4667,166.1,49.6,68,11,6.2,RU,1630654251
250,petropavlovsk-kamchatskiy,53.0452,158.6483,61.39,72,20,8.95,RU,1630654252
251,cap-aux-meules,47.3821,-61.8597,66.22,94,100,16.11,CA,1630654252
252,lhokseumawe,5.1801,97.1507,84.87,69,98,6.67,ID,1630654253
253,pemba,-12.974,40.5178,78.78,64,75,12.17,MZ,1630654254
254,tautira,-17.7333,-149.15,77.02,78,27,16.75,PF,1630654255
255,formosa,-26.1775,-58.1781,64.38,94,0,8.05,AR,1630654256
256,bubaque,11.2833,-15.8333,80.56,78,68,10.87,GW,1630654256
257,hamilton,39.1834,-84.5333,65.35,76,1,1.01,US,1630654209
258,saint-augustin,51.226,-58.6502,43.81,93,100,25.03,CA,1630654258
259,meulaboh,4.1363,96.1285,84.16,66,56,7.58,ID,1630654258
260,guerrero negro,27.9769,-114.0611,67.89,82,14,10.85,MX,1630654259
261,akniste,56.1615,25.7478,58.57,84,87,14.05,LV,1630654260
262,spring hill,28.4769,-82.5255,80.82,90,1,0.0,US,1630654260
263,heze,35.2431,115.4411,81.93,70,100,6.44,CN,1630654261
264,port hardy,50.6996,-127.4199,51.8,100,20,2.3,CA,1630654262
265,laguna,38.421,-121.4238,66.7,79,1,1.99,US,1630654262
266,ponoka,52.6768,-113.5815,46.89,88,1,7.23,CA,1630654263
267,portland,45.5234,-122.6762,67.93,59,75,1.01,US,1630653982
268,malavalli,12.3833,77.0833,82.26,82,100,8.39,IN,1630654265
269,avera,33.194,-82.5271,71.26,63,0,6.64,US,1630654266
270,myaundzha,63.0494,147.1858,63.05,46,14,5.19,RU,1630654266
271,mansa,29.9833,75.3833,80.83,81,100,2.26,IN,1630654059
272,jalu,29.0331,21.5482,82.33,48,0,9.62,LY,1630654268
273,victor harbor,-35.5667,138.6167,59.0,59,10,1.01,AU,1630654269
274,rawson,-43.3002,-65.1023,51.8,76,100,20.65,AR,1630654270
275,lebu,-37.6167,-73.65,47.57,91,3,2.01,CL,1630654271
276,adiake,5.2863,-3.304,78.39,87,95,11.77,CI,1630654272
277,fortuna,40.5982,-124.1573,54.43,74,90,0.0,US,1630654272
278,challans,46.8436,-1.8749,68.2,77,67,6.67,FR,1630654273
279,ouadda,8.0777,22.4007,72.81,87,96,3.42,CF,1630654274
280,aschersleben,51.75,11.4667,65.95,68,0,3.91,DE,1630654275
281,nelson bay,-32.7167,152.15,70.29,74,0,3.0,AU,1630654275
282,chumikan,54.7183,135.315,60.26,66,16,6.17,RU,1630654276
283,karangasem,-8.45,115.6167,81.48,68,64,14.14,ID,1630654277
284,cidreira,-30.1811,-50.2056,63.41,85,61,10.31,BR,1630654277
285,masuguru,-11.3667,38.4167,87.53,30,94,8.39,TZ,1630654278
286,soldotna,60.4878,-151.0583,53.96,96,90,3.44,US,1630654279
287,sawankhalok,17.316,99.8319,87.69,70,40,2.3,TH,1630654280
288,dzhebariki-khaya,62.2167,135.8,70.09,45,8,7.63,RU,1630654281
289,artesia,33.8658,-118.0831,70.48,88,90,1.99,US,1630654281
290,nipawin,53.3668,-104.0009,59.04,77,90,11.5,CA,1630654282
291,novobureyskiy,49.798,129.8774,76.08,57,6,2.77,RU,1630654283
292,mikhaylovsk,45.1283,42.0256,60.58,63,40,22.37,RU,1630654284
293,la ronge,55.1001,-105.2842,52.02,93,1,2.3,CA,1630654284
294,lubben,51.95,13.9,68.7,70,0,7.92,DE,1630654285
295,dicabisagan,17.0818,122.4157,84.36,76,59,3.51,PH,1630654286
296,kawalu,-7.3817,108.2082,78.62,62,100,6.49,ID,1630654287
297,bonavista,48.6499,-53.1147,59.11,99,100,15.48,CA,1630654287
298,port blair,11.6667,92.75,86.04,84,75,17.27,IN,1630654288
299,srednekolymsk,67.45,153.6833,59.81,48,38,6.96,RU,1630654289
300,khuzdar,27.7384,66.6434,89.49,27,96,9.86,PK,1630654289
301,varzea da palma,-17.5981,-44.7308,62.94,78,2,2.08,BR,1630654290
302,lauria,40.0465,15.8358,76.06,36,10,3.42,IT,1630654291
303,roblin,51.23,-101.3565,56.97,64,47,11.25,CA,1630654291
304,bodden town,19.2833,-81.25,82.0,89,99,1.01,KY,1630654292
305,zhangjiakou,40.81,114.8794,82.65,36,100,3.13,CN,1630654293
306,mezen,65.8522,44.24,50.41,64,88,5.26,RU,1630654293
307,ugoofaaru,5.6667,73.0,82.26,73,100,10.0,MV,1630654294
308,saint-joseph,-21.3667,55.6167,75.58,64,4,14.65,RE,1630654295
309,quatre cocos,-20.2078,57.7625,76.08,64,68,15.93,MU,1630654296
310,tura,25.5198,90.2201,85.46,71,61,3.18,IN,1630654296
311,kruisfontein,-34.0033,24.7314,60.89,67,99,19.3,ZA,1630654297
312,comodoro rivadavia,-45.8667,-67.5,42.66,93,0,3.44,AR,1630654201
313,saurimo,-9.6608,20.3916,71.92,64,75,0.0,AO,1630654298
314,suicheng,33.8963,117.9331,80.13,73,91,7.9,CN,1630654299
315,honiara,-9.4333,159.95,78.64,87,42,6.46,SB,1630654300
316,yerbogachen,61.2767,108.0108,47.8,64,100,7.85,RU,1630654300
317,kodinsk,58.6881,99.1844,56.17,40,95,4.72,RU,1630654301
318,ostrovnoy,68.0531,39.5131,38.34,96,100,18.54,RU,1630654302
319,mount isa,-20.7333,139.5,85.77,30,0,8.05,AU,1630654267
320,ola,59.5833,151.2833,54.34,93,95,7.58,RU,1630654303
321,ulaanbaatar,47.9077,106.8832,73.53,35,40,15.66,MN,1630654074
322,snyder,32.7179,-100.9176,81.36,61,1,5.75,US,1630654304
323,dumas,35.8656,-101.9732,80.02,78,1,8.05,US,1630654305
324,liwale,-9.7667,37.9333,82.09,38,99,7.76,TZ,1630654305
325,zhezkazgan,47.8043,67.7144,81.55,19,0,12.1,KZ,1630654306
326,luderitz,-26.6481,15.1594,58.78,62,7,8.72,NA,1630654307
327,araguaina,-7.1911,-48.2072,73.76,51,7,0.87,BR,1630654211
328,talara,-4.5772,-81.2719,64.24,88,66,17.31,PE,1630654308
329,skjervoy,70.0311,20.9714,46.4,80,100,22.62,NO,1630654309
330,tessalit,20.1986,1.0114,95.38,13,0,11.95,ML,1630654309
331,san-pedro,4.7485,-6.6363,75.58,92,99,6.8,CI,1630654306
332,belmonte,-15.8631,-38.8828,66.7,86,35,3.4,BR,1630654311
333,vestmannaeyjar,63.4427,-20.2734,55.15,83,100,12.39,IS,1630654311
334,bintulu,3.1667,113.0333,86.41,74,20,0.0,MY,1630654312
335,salalah,17.0151,54.0924,78.89,100,90,5.75,OM,1630654313
336,ringebu,61.5167,10.1667,44.62,97,100,2.91,NO,1630654314
337,chaman,30.9236,66.4512,89.87,16,0,5.93,PK,1630654314
338,lata,40.1629,-8.3327,65.8,79,3,2.01,PT,1630654315
339,shieli,44.1667,66.75,90.37,14,0,14.45,KZ,1630654316
340,alofi,-19.0595,-169.9187,73.29,88,100,8.05,NU,1630654317
341,aswan,24.0934,32.907,103.19,16,1,3.11,EG,1630654318
342,talnakh,69.4865,88.3972,45.28,73,100,25.12,RU,1630654319
343,buraydah,26.326,43.975,102.65,6,0,3.02,SA,1630654243
344,usinsk,65.9939,57.5281,52.88,68,96,18.32,RU,1630654270
345,ponta delgada,37.7333,-25.6667,68.72,88,20,5.75,PT,1630654321
346,rzhaksa,52.1338,42.0264,58.23,48,71,19.46,RU,1630654322
347,leh,34.1667,77.5833,65.16,22,21,6.17,IN,1630654323
348,chardara,41.2547,67.9692,87.55,20,0,2.64,KZ,1630654324
349,saint-francois,46.4154,3.9054,63.48,94,0,2.3,FR,1630654324
350,dabat,12.9842,37.765,60.4,77,100,2.75,ET,1630654325
351,jiuquan,39.7432,98.5174,79.7,23,98,9.22,CN,1630654326
352,san carlos de bariloche,-41.1456,-71.3082,33.55,86,40,4.61,AR,1630654327
353,talavera,15.6167,120.9333,85.71,75,59,6.8,PH,1630654327
354,san pedro,14.35,121.0167,89.35,63,20,11.5,PH,1630654328
355,rio de janeiro,-22.9028,-43.2075,66.2,88,0,4.61,BR,1630654263
356,akureyri,65.6835,-18.0878,49.93,87,40,6.91,IS,1630654329
357,tazovskiy,67.4667,78.7,53.08,80,100,18.14,RU,1630654235
358,constitucion,-35.3333,-72.4167,48.02,90,0,2.28,CL,1630654330
359,kindu,-2.95,25.95,78.76,70,100,2.42,CD,1630654331
360,maceio,-9.6658,-35.7353,69.24,100,40,3.44,BR,1630654333
361,crib point,-38.35,145.2,55.02,94,100,10.2,AU,1630654334
362,gunjur,13.2019,-16.7339,78.87,94,40,0.0,GM,1630654335
363,beringovskiy,63.05,179.3167,45.03,73,100,17.83,RU,1630654335
364,kiomboi,-4.2667,34.3667,77.76,29,70,13.06,TZ,1630654336
365,kourou,5.1552,-52.6478,74.1,93,100,4.94,GF,1630654204
366,apastovo,55.2029,48.5109,53.91,90,100,15.05,RU,1630654337
367,san felipe,10.3399,-68.7425,72.63,99,64,1.43,VE,1630654338
